2019 329 999 fcast o       8      11      43.6628     -79.3027
MM/DD/YYYY hh:mm (GMT), Decimal DOY (GMT), Eastward Air Velocity (10m m/s), Northward Air Velocity (10m m/s), Wind Speed (m/s), Wind Dir (degrees; 0=from N; 90=from E), Air Temperature (2m C), Dew Point (2m C), Cloud cover (fraction)
Date String, DOY, air_u, air_v, wsp, wdir, at, dp, cl
11/25/2019 12:00,  329.500,    3.440,    2.887,    4.491,  230.000,    4.385,    0.550,    0.800
11/25/2019 13:00,  329.542,    2.716,    2.279,    3.546,  230.000,    3.796,    1.085,    0.810
11/25/2019 14:00,  329.583,    1.922,    1.664,    2.542,  229.105,    4.450,    1.275,    0.820
11/25/2019 15:00,  329.625,    1.372,    1.494,    2.029,  222.567,    5.485,    1.800,    0.830
11/25/2019 16:00,  329.667,    1.350,    1.609,    2.100,  220.000,    6.150,    2.375,    0.840
11/25/2019 17:00,  329.708,    1.362,    2.360,    2.725,  210.000,    7.100,    2.900,    0.850
11/25/2019 18:00,  329.750,    1.213,    3.332,    3.546,  200.000,    7.625,    3.350,    0.861
11/25/2019 19:00,  329.792,    1.255,    3.449,    3.670,  200.000,    7.750,    3.350,    0.840
11/25/2019 20:00,  329.833,    1.384,    3.802,    4.046,  200.000,    7.750,    3.350,    0.811
11/25/2019 21:00,  329.875,    1.318,    3.819,    4.040,  199.035,    7.750,    3.350,    0.788
11/25/2019 22:00,  329.917,    1.536,    4.220,    4.491,  200.000,    7.696,    3.350,    0.761
11/25/2019 23:00,  329.958,    2.202,    3.969,    4.539,  209.022,    7.696,    3.350,    0.738
11/26/2019 00:00,  330.000,    2.496,    4.322,    4.991,  210.000,    7.630,    3.350,    0.711
11/26/2019 01:00,  330.042,    2.496,    4.322,    4.991,  210.000,    7.630,    3.350,    0.701
11/26/2019 02:00,  330.083,    1.597,    4.389,    4.670,  200.000,    7.630,    3.350,    0.698
11/26/2019 03:00,  330.125,    1.579,    4.337,    4.616,  200.000,    7.630,    3.350,    0.688
11/26/2019 04:00,  330.167,    1.707,    4.690,    4.991,  200.000,    6.745,    3.350,    0.680
11/26/2019 05:00,  330.208,    2.523,    4.370,    5.046,  210.000,    6.085,    3.350,    0.670
11/26/2019 06:00,  330.250,    2.790,    4.833,    5.580,  210.000,    5.634,    3.850,    0.660
11/26/2019 07:00,  330.292,    2.817,    4.880,    5.635,  210.000,    6.209,    3.850,    0.661
11/26/2019 08:00,  330.333,    3.908,    4.658,    6.080,  220.000,    6.745,    3.850,    0.670
11/26/2019 09:00,  330.375,    3.908,    4.658,    6.080,  220.000,    6.870,    4.450,    0.671
11/26/2019 10:00,  330.417,    3.702,    4.412,    5.759,  220.000,    6.870,    4.450,    0.680
11/26/2019 11:00,  330.458,    4.412,    3.702,    5.759,  230.000,    6.209,    4.000,    0.682
11/26/2019 12:00,  330.500,    3.980,    3.339,    5.195,  230.000,    5.485,    3.850,    0.690
11/26/2019 13:00,  330.542,    4.499,    2.598,    5.195,  240.000,    5.485,    3.850,    0.680
11/26/2019 14:00,  330.583,    5.244,    1.909,    5.580,  250.000,    6.085,    3.350,    0.670
11/26/2019 15:00,  330.625,    4.741,    1.726,    5.046,  250.000,    6.150,    3.285,    0.662
11/26/2019 16:00,  330.667,    4.858,    1.081,    4.977,  257.458,    6.650,    2.750,    0.660
11/26/2019 17:00,  330.708,    4.477,    0.789,    4.546,  260.000,    7.304,    2.250,    0.650
11/26/2019 18:00,  330.750,    3.668,    0.647,    3.725,  260.000,    7.815,    2.185,    0.640
11/26/2019 19:00,  330.792,    2.999,    0.529,    3.046,  260.000,    7.815,    2.185,    0.630
11/26/2019 20:00,  330.833,    1.919,    0.668,    2.032,  250.799,    7.815,    2.250,    0.630
