2019 329 999 fcast o       8      11      43.6628     -79.3027
YYYY-MM-DD hh (GMT), Decimal DOY (GMT), Eastward Water Velocity at Surface (m/s), Northward Water Velocity at Surface (m/s), Surface Current Speed (m/s), Surface Current Direction (Degrees; 0=toward N; 90=toward E), Depth-Averaged Eastward Water Velocity (m/s), Depth-Averaged Northward Water Velocity (m/s), Depth-Averaged Current Speed (m/s), Depth-Averaged Current Direction (Degrees; 0=toward N; 90=toward E), Significant Wave Height (m), Wave Direction (Degrees; 0=toward N; 90=toward E), Wave Period (sec), Height Above Model Flat Calm (m)
Date String, DOY, uc, vc, spd, dir, utm, vtm, aspd, adir, wvh, wvd, wvp, eta
11/25/2019 13:00,  329.542,    0.077,    0.045,    0.089,   60.073,    0.058,    0.042,    0.072,   53.911,    0.406,   29.324,    2.800,    0.002
11/25/2019 14:00,  329.583,    0.071,    0.041,    0.082,   59.793,    0.057,    0.041,    0.071,   54.036,    0.364,   27.191,    2.764,   -0.030
11/25/2019 15:00,  329.625,    0.065,    0.039,    0.075,   59.021,    0.054,    0.040,    0.067,   53.804,    0.311,   24.595,    2.659,   -0.041
11/25/2019 16:00,  329.667,    0.057,    0.035,    0.067,   58.910,    0.049,    0.037,    0.061,   53.158,    0.262,   22.215,    2.449,    0.001
11/25/2019 17:00,  329.708,    0.059,    0.036,    0.069,   58.821,    0.048,    0.036,    0.060,   53.238,    0.232,   20.767,    2.273,    0.037
11/25/2019 18:00,  329.750,    0.062,    0.039,    0.073,   58.109,    0.050,    0.036,    0.061,   54.125,    0.217,   19.903,    2.123,    0.003
11/25/2019 19:00,  329.792,    0.058,    0.037,    0.069,   57.417,    0.049,    0.035,    0.060,   54.206,    0.216,   19.609,    2.059,   -0.038
11/25/2019 20:00,  329.833,    0.055,    0.036,    0.066,   56.623,    0.044,    0.032,    0.055,   53.604,    0.233,   19.375,    2.114,   -0.032
11/25/2019 21:00,  329.875,    0.053,    0.035,    0.064,   56.494,    0.041,    0.031,    0.051,   53.236,    0.257,   18.195,    2.215,   -0.003
11/25/2019 22:00,  329.917,    0.053,    0.036,    0.064,   56.219,    0.040,    0.030,    0.050,   53.214,    0.283,   16.600,    2.311,    0.028
11/25/2019 23:00,  329.958,    0.056,    0.036,    0.067,   57.589,    0.041,    0.030,    0.051,   53.943,    0.308,   15.889,    2.401,    0.012
11/26/2019 00:00,  330.000,    0.055,    0.035,    0.065,   57.724,    0.042,    0.030,    0.052,   54.351,    0.330,   15.708,    2.474,   -0.032
11/26/2019 01:00,  330.042,    0.051,    0.034,    0.061,   56.638,    0.039,    0.029,    0.049,   53.808,    0.346,   15.498,    2.514,   -0.042
11/26/2019 02:00,  330.083,    0.048,    0.032,    0.057,   56.271,    0.035,    0.026,    0.044,   52.880,    0.347,   15.457,    2.535,    0.004
11/26/2019 03:00,  330.125,    0.050,    0.033,    0.060,   56.361,    0.037,    0.027,    0.046,   53.359,    0.340,   15.788,    2.519,    0.025
11/26/2019 04:00,  330.167,    0.050,    0.035,    0.061,   55.279,    0.038,    0.027,    0.046,   53.997,    0.337,   16.475,    2.463,    0.006
11/26/2019 05:00,  330.208,    0.051,    0.035,    0.062,   55.568,    0.039,    0.028,    0.048,   54.271,    0.353,   17.826,    2.472,   -0.029
